Market Price $/MWh,CPK0331 HHR Market Prices,Status
13/08/2016 0:00,43.5,measured
13/08/2016 0:30,48.51,measured
13/08/2016 1:00,49.98,measured
13/08/2016 1:30,43.34,measured
13/08/2016 2:00,44.92,measured
13/08/2016 2:30,45.67,measured
13/08/2016 3:00,46.11,measured
13/08/2016 3:30,50.04,measured
13/08/2016 4:00,46.09,measured
13/08/2016 4:30,50.01,measured
13/08/2016 5:00,46.12,measured
13/08/2016 5:30,45.18,measured
13/08/2016 6:00,44.56,measured
13/08/2016 6:30,44.44,measured
13/08/2016 7:00,44.76,measured
13/08/2016 7:30,43.85,measured
13/08/2016 8:00,43.9,measured
13/08/2016 8:30,47.26,measured
13/08/2016 9:00,51.06,measured
13/08/2016 9:30,49.39,measured
13/08/2016 10:00,47.34,measured
13/08/2016 10:30,46.24,measured
13/08/2016 11:00,45.16,measured
13/08/2016 11:30,48.2,measured
13/08/2016 12:00,36.68,measured
13/08/2016 12:30,34.49,measured
13/08/2016 13:00,40.33,measured
13/08/2016 13:30,39.41,measured
13/08/2016 14:00,35.6,measured
13/08/2016 14:30,38.34,measured
13/08/2016 15:00,39.78,measured
13/08/2016 15:30,39.18,measured
13/08/2016 16:00,38.4,measured
13/08/2016 16:30,25.05,measured
13/08/2016 17:00,21.14,measured
13/08/2016 17:30,24.52,measured
13/08/2016 18:00,42.68,measured
13/08/2016 18:30,42.49,measured
13/08/2016 19:00,42.47,measured
13/08/2016 19:30,41.71,measured
13/08/2016 20:00,42.56,measured
13/08/2016 20:30,43.09,measured
13/08/2016 21:00,39.41,measured
13/08/2016 21:30,44.7,measured
13/08/2016 22:00,47.16,measured
13/08/2016 22:30,46.94,measured
13/08/2016 23:00,43.38,measured
13/08/2016 23:30,44.85,measured
14/08/2016 0:00,44.47,measured
14/08/2016 0:30,45.27,measured
14/08/2016 1:00,43.52,measured
14/08/2016 1:30,45.48,measured
14/08/2016 2:00,42.96,measured
14/08/2016 2:30,43.01,measured
14/08/2016 3:00,39.12,measured
14/08/2016 3:30,37.53,measured
14/08/2016 4:00,38.86,measured
14/08/2016 4:30,39.19,measured
14/08/2016 5:00,44.45,measured
14/08/2016 5:30,42.51,measured
